record_id,screen_axis,entry,photocatalyst,pc_mol_pct,copper_source,cu_mol_pct,ligand,ligand_mol_pct,solvent,temp_c,scale_mmol,time_h,light_nm,yield_status,yield_pct,ee_pct,source_table,source_pdf_page,source_doi,model_role,notes,temperature_k,solvent_smiles,solvent_dielectric_constant,solvent_reichardt_et30_kcal_mol,solvent_descriptor_quality,solvent_dielectric_source,solvent_et30_source,photocatalyst_class,copper_oxidation_state_nominal,copper_ligand_class,copper_contains_cyanide,ligand_family,fixed_deoxygenation_reagent,fixed_cyanide_source,reaction_family,solvent_id_ch3cn,solvent_id_chcl3,solvent_id_dce,solvent_id_dcm,solvent_id_mtbe,solvent_id_phcl,solvent_id_acetone,pc_class_ir_cationic_cyclometalated,pc_class_ir_neutral_cyclometalated,pc_class_none,pc_class_organic_donor_acceptor,pc_class_organic_hydrocarbon,pc_class_organic_quinone,pc_class_organic_xanthene,copper_id_cu_ch3cn_4bf4,copper_id_cu_ch3cn_4pf6,copper_id_cubr,copper_id_cubr2,copper_id_cucn,copper_id_cucl,copper_id_cucl2,ligand_id_l1,ligand_id_l2,ligand_id_l3,ligand_id_l4,ligand_id_l5,ligand_id_l6
SOLV-01,solvent,1,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,CH3CN,25,0.1,12,450-465,measured,40.0,74.0,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,CC#N,37.5,45.6,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SOLV-02,solvent,2,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,measured,50.0,88.0,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SOLV-03,solvent,3,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCE,25,0.1,12,450-465,measured,55.0,84.0,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCCl,10.36,41.3,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SOLV-04,solvent,4,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,CHCl3,25,0.1,12,450-465,measured,55.0,87.0,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClC(Cl)Cl,4.81,39.1,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SOLV-05,solvent,5,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,PhCl,25,0.1,12,450-465,trace,,,Table S1,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported,298.15,Clc1ccccc1,5.62,37.5,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SOLV-06,solvent,6,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,acetone,25,0.1,12,450-465,trace,,,Table S1,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported,298.15,CC(=O)C,20.7,42.2,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SOLV-07,solvent,7,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,MTBE,25,0.1,12,450-465,trace,,,Table S1,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported,298.15,COC(C)(C)C,2.6,34.7,secondary_table_pending_primary_confirmation,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
PC-01,photocatalyst,1,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,measured,50.0,88.0,Table S2,16,10.1021/acs.orglett.5c05116,duplicate_anchor,same condition as SOLV-02,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
PC-02,photocatalyst,2,[Ir(dFCF3ppy)2(bpy)]PF6,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,trace,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_cationic_cyclometalated,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
PC-03,photocatalyst,3,4CzIPN,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,trace,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",organic_donor_acceptor,1,labile_nitrile_complex,0,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
