record_id,screen_axis,entry,photocatalyst,pc_mol_pct,copper_source,cu_mol_pct,ligand,ligand_mol_pct,solvent,temp_c,scale_mmol,time_h,light_nm,yield_status,yield_pct,ee_pct,source_table,source_pdf_page,source_doi,model_role,notes
SOLV-01,solvent,1,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,CH3CN,25,0.1,12,450-465,measured,40,74,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield
SOLV-02,solvent,2,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,measured,50,88,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield
SOLV-03,solvent,3,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCE,25,0.1,12,450-465,measured,55,84,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield
SOLV-04,solvent,4,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,CHCl3,25,0.1,12,450-465,measured,55,87,Table S1,16,10.1021/acs.orglett.5c05116,train,isolated yield
SOLV-05,solvent,5,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,PhCl,25,0.1,12,450-465,trace,,,Table S1,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported
SOLV-06,solvent,6,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,acetone,25,0.1,12,450-465,trace,,,Table S1,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported
SOLV-07,solvent,7,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,MTBE,25,0.1,12,450-465,trace,,,Table S1,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported
PC-01,photocatalyst,1,fac-Ir(ppy)3,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,measured,50,88,Table S2,16,10.1021/acs.orglett.5c05116,duplicate_anchor,same condition as SOLV-02
PC-02,photocatalyst,2,[Ir(dFCF3ppy)2(bpy)]PF6,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,trace,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported
PC-03,photocatalyst,3,4CzIPN,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,trace,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,trace; no numerical detection limit reported
PC-04,photocatalyst,4,Eosin Y,1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,not_detected,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,n.d. as printed; definition not supplied
PC-05,photocatalyst,5,"5,7,12,14-Pentacenetetrone",1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,not_detected,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,n.d. as printed; definition not supplied
PC-06,photocatalyst,6,"9,10-Diphenylanthracene",1,Cu(CH3CN)4PF6,5,L1,6,DCM,25,0.1,12,450-465,not_detected,,,Table S2,16,10.1021/acs.orglett.5c05116,censored,n.d. as printed; definition not supplied
