file_name,relative_path,bytes,sha256,read_status,pdf_pages,pages_text_extracted,metadata_title,metadata_author,doi_candidates,kw_asymmetric,kw_cyanation,kw_copper,kw_photoredox,kw_deoxygenative,kw_ligand,kw_solvent,kw_scope,suggested_role,human_data_role,review_notes,selected_for_local_reference,numeric_training_eligible,numeric_transfer_reason
1-s2.0-S027753871630064X-main.pdf,不对称反应\1-s2.0-S027753871630064X-main.pdf,539317,38d87998910b1cdba952f2a1220e89f0f0747a53a9ea3066932fb25b64bbd3a5,ok,6,6,Bis(phenolato)molybdenum complexes as catalyst precursors for the deoxydehydration of biomass-derived polyols,Klaus Beckerle,10.1016/j.poly.2016.03.053,0,0,0,0,1,10,6,0,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
10.1021@jacs.0c07492.pdf,不对称反应\10.1021@jacs.0c07492.pdf,1990943,7d7bae1c3c3d982ff13876ddc6bd6669773d8d1b1568458f6787c437b9f3ad22,ok,10,10,,,10.1021/jacs.0c07492,4,0,2,6,35,2,1,10,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
acs.inorgchem.8b02968.pdf,不对称反应\acs.inorgchem.8b02968.pdf,1960214,e32ecd2f930396a438be347ed3f7d0ed46ab7149dcf1569ba5c8ecf377694500,ok,11,11,Mechanistic Features of the Oxidation–Reductive Coupling of Alcohols Catalyzed by Oxo-Vanadium Complexes,Eric Steffensmeier; Matthew T. Swann; Kenneth M. Nicholas (ORCID: 0000-0002-5180-1671),10.1021/acs.inorg-;10.1021/acs.inorgchem.8b02968,0,0,3,0,48,16,6,1,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
acs.oprd_.1c00208-1.pdf,不对称反应\acs.oprd_.1c00208-1.pdf,1347986,66be09e1d5b8e239369c76c100402ce0fb52601ebfcec1b266dd27fca56ef58b,ok,8,8,Synthesis of Enantiopure Unnatural Amino Acids by Metallaphotoredox Catalysis,"Tomer M. Faraggi, Caroline Rouget-Virbel, Juan A. Rincón, Mario Barberis, Carlos Mateos, Susana García-Cerrada, Javier Agejas, Oscar de Frutos, and David W. C. MacMillan",10.1021/acs.oprd.1c00208,14,1,0,5,0,1,5,6,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
acs.organomet.8b00285.pdf,不对称反应\acs.organomet.8b00285.pdf,2187652,f827eabd5fd84011eac99f8231a340d41a351e105868d3e0877108094edad2cf,ok,13,13,Mechanistic Insights into the ReIO2(PPh3)2‑Promoted Reductive Coupling of Alcohols,Camille Boucher-Jacobs; Peng Liu (ORCID: 0000-0002-8188-632X); Kenneth M. Nicholas (ORCID: 0000-0002-5180-1671),10.1021/acs.organo-;10.1021/acs.organomet.8b00285,0,0,2,0,92,12,6,1,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
acs.orglett.8b02305.pdf,不对称反应\acs.orglett.8b02305.pdf,984361,9ad25b7a5151db8bb1aefda23e795fbbb03fba1674893681c2e7aafff6edc2f2,ok,4,4,Low-Valent Titanium-Mediated Radical Conjugate Addition Using Benzyl Alcohols as Benzyl Radical Sources,Takuya Suga (ORCID: 0000-0002-7527-9611); Shoma Shimazu; Yutaka Ukaji (ORCID: 0000-0003-3185-3113),10.1021/acs.or-;10.1021/acs.orglett.8b02305,0,0,0,0,13,0,0,3,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
acs.orglett.8b03367 (1).pdf,不对称反应\acs.orglett.8b03367 (1).pdf,1283744,16b6fead7cc22265a51cdeb3731e98c63296753de6ee9da2db3e2954cff116dc,ok,5,5,Nickel-Catalyzed Cross-Electrophile Coupling between Benzyl Alcohols and Aryl Halides Assisted by Titanium Co-reductant,Takuya Suga (ORCID: 0000-0002-7527-9611); Yutaka Ukaji (ORCID: 0000-0003-3185-3113),10.1021/acs.or-;10.1021/acs.orglett.8b03367,4,0,0,3,13,3,0,5,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
bandari2020.pdf,不对称反应\bandari2020.pdf,673118,af7f8e6d557092b2c014e9d8e4b6461710892042350761fc53479ecef7f20abb,ok,8,8,jo9b03150 1..8,Chandrasekhar Bandari and Kenneth M. Nicholas,10.1021/acs.joc.9b03150,1,0,0,2,44,1,3,7,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
chang-et-al-2021-alkoxy-radicals-see-the-light-new-paradigms-of-photochemical-synthesis.pdf,不对称反应\chang-et-al-2021-alkoxy-radicals-see-the-light-new-paradigms-of-photochemical-synthesis.pdf,26345462,c1f3394a9abe2eeffb796d1370db5d04d3c5addf8569d929d07d9ac55bc408c6,ok,58,30,Alkoxy Radicals See the Light: New Paradigms of Photochemical Synthesis,"Liang Chang, Qing An, Lingfei Duan, Kaixuan Feng, and Zhiwei Zuo",10.1021/acs.chemrev.1c00256,8,5,22,54,22,10,12,1,manual_review_candidate,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
cjoc.201900364.pdf,不对称反应\cjoc.201900364.pdf,1201816,31d2723dc8c21a131b102c94823f678267168f99cda52d116544446ecc527e29,ok,6,6,"Dehydroxylative trifluoromethylthiolation, trifluoromethylation, and difluoromethylation of alcohols",,10.1002/cjoc.2018xxxxx;10.1002/cjoc.201900364;10.1002/cjoc.201900XXX,1,0,18,2,8,0,2,5,descriptor_or_mechanism_reference,excluded_after_title_abstract_screen,"Not sufficiently matched to the target precursor, Cu/photoredox cycle, product-forming step, and asymmetric outcome.",False,no,"No corpus paper matches the target precursor, catalyst network, product-forming step, protocol, and label definition simultaneously."
