id,descriptor_engine,descriptor_semantics,canonical_smiles,reaction_centre_atom_index,nitrile_count,gasteiger_centre_charge,gasteiger_nitrile_c_charge,gasteiger_aryl_attachment_charge,gasteiger_max_abs_charge,centre_crippen_logp_contrib,centre_crippen_mr_contrib,mol_logp,mol_mr,mol_tpsa,mol_fraction_csp3,mol_rotatable_bonds,mol_bertz_complexity,mol_heavy_atoms,mol_heteroatoms,centre_heavy_degree,centre_aromatic_neighbours,centre_radius2_atomic_number_sum,centre_radius2_heavy_count,min_hetero_topological_distance
2a,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc2ccccc2c1,1,1,0.0684331051637677,0.07003587200634585,-0.030450929184825937,0.19769884152749873,0.1193,2.582,3.4668800000000024,57.976000000000035,23.79,0.15384615384615385,1.0,493.8068768143131,14.0,1.0,3.0,1.0,37.0,6.0,2.0
2b,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1cccc2ccccc12,1,1,0.06901003817358715,0.07005867144427652,-0.023220829431070615,0.19769846238363348,0.1193,2.582,3.4668800000000015,57.97600000000003,23.79,0.15384615384615385,1.0,488.5568768143131,14.0,1.0,3.0,1.0,37.0,6.0,2.0
2c,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,COc1ccc2cc(C(C)C#N)ccc2c1,8,1,0.06843310536962789,0.07003587200675475,-0.030450875355996592,0.4967712056900981,0.1193,2.582,3.475480000000002,64.52800000000003,33.019999999999996,0.21428571428571427,2.0,554.1541637706899,16.0,2.0,3.0,1.0,37.0,6.0,2.0
2d,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccccc1,1,1,0.0684113008542717,0.0700354912703422,-0.03109022072997495,0.19769884448707942,0.1193,2.582,2.3136800000000006,40.47000000000002,23.79,0.2222222222222222,1.0,232.6552208657395,10.0,1.0,3.0,1.0,37.0,6.0,2.0
2e,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CCCCCC(C#N)c1ccccc1,5,1,0.07123212697240647,0.0703296791288314,-0.030814717320512594,0.1976876308914611,0.1193,2.582,3.874080000000003,58.938000000000045,23.79,0.46153846153846156,5.0,283.8539145304206,14.0,1.0,3.0,1.0,43.0,7.0,2.0
2f,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,N#CC(CCCBr)c1ccccc1,4,1,0.07126133654180339,0.07033020485592488,-0.03081421094734743,0.19768762674881327,0.1193,2.582,3.468880000000002,57.824000000000034,23.79,0.36363636363636365,4.0,275.89179495660295,13.0,2.0,3.0,1.0,43.0,7.0,2.0
2g,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,COC(=O)CCCC(C#N)c1ccccc1,7,1,0.07124765571724395,0.07032991727893474,-0.030814487799901924,0.4690124131180404,0.1193,2.582,2.637080000000001,60.66300000000004,50.09,0.38461538461538464,5.0,367.269025830625,16.0,3.0,3.0,1.0,43.0,7.0,2.0
2h,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,Cc1ccc(C(C)C#N)cc1,1,1,0.06841162690308498,0.0700354940188394,-0.03107067320119057,0.19769884447663097,0.1193,2.582,2.6221000000000005,45.20700000000002,23.79,0.3,1.0,265.9194057797522,11.0,1.0,3.0,1.0,37.0,6.0,2.0
2i,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,COc1ccc(C(C)C#N)cc1,1,1,0.06841577736021977,0.07003552892166688,-0.030820518812803347,0.49679437485719186,0.1193,2.582,2.32228,47.02200000000003,33.019999999999996,0.3,2.0,283.7020435150651,12.0,2.0,3.0,1.0,37.0,6.0,2.0
2j,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(-c2ccccc2)cc1,1,1,0.06841200627687438,0.07003549714999274,-0.031046897648547157,0.1976988444648477,0.1193,2.582,3.980680000000003,65.90600000000003,23.79,0.13333333333333333,2.0,491.20820265074866,16.0,1.0,3.0,1.0,37.0,6.0,2.0
2k,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(-c2ccccc2)cc1F,1,1,0.07128446763089574,0.07014838193234456,0.004763865226785386,0.20665572778549166,0.1193,2.582,4.119780000000002,65.86400000000002,23.79,0.13333333333333333,2.0,554.8796574169024,17.0,2.0,3.0,1.0,37.0,6.0,2.0
