id,pubchem_status,pubchem_retrieved,pubchem_url,pubchem_error,pubchem_cid,pubchem_formula,pubchem_mw,pubchem_xlogp,pubchem_tpsa,pubchem_complexity,pubchem_hbd,pubchem_hba,pubchem_rotatable,pubchem_heavy_atoms,pubchem_smiles,pubchem_isomeric_smiles
2a,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-%28naphthalen-2-yl%29propanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,13411570,C13H11N,181.23,3.7,23.8,237,0,1,1,14,CC(C#N)C1=CC2=CC=CC=C2C=C1,CC(C#N)C1=CC2=CC=CC=C2C=C1
2b,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-%28naphthalen-1-yl%29propanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,91132,C13H11N,181.23,3.4,23.8,237,0,1,1,14,CC(C#N)C1=CC=CC2=CC=CC=C21,CC(C#N)C1=CC=CC2=CC=CC=C21
2c,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-%286-methoxynaphthalen-2-yl%29propanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,607344,C14H13NO,211.26,3.5,33,280,0,2,2,16,CC(C#N)C1=CC2=C(C=C1)C=C(C=C2)OC,CC(C#N)C1=CC2=C(C=C1)C=C(C=C2)OC
2d,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-phenylpropanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,15761,C9H9N,131.17,2.1,23.8,136,0,1,1,10,CC(C#N)C1=CC=CC=C1,CC(C#N)C1=CC=CC=C1
2e,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-phenylheptanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,12652020,C13H17N,187.28,4.1,23.8,183,0,1,5,14,CCCCCC(C#N)C1=CC=CC=C1,CCCCCC(C#N)C1=CC=CC=C1
2f,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/5-bromo-2-phenylpentanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,134895435,C11H12BrN,238.12,3.1,23.8,176,0,1,4,13,C1=CC=C(C=C1)C(CCCBr)C#N,C1=CC=C(C=C1)C(CCCBr)C#N
2g,smiles_fallback,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/COC%28%3DO%29CCCC%28C%23N%29c1ccccc1/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",name query: HTTP Error 404: PUGREST.NotFound,0,,,,,,,,,,,
2h,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-%284-methylphenyl%29propanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,10630646,C10H11N,145.20,2.5,23.8,157,0,1,1,11,CC1=CC=C(C=C1)C(C)C#N,CC1=CC=C(C=C1)C(C)C#N
2i,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-%284-methoxyphenyl%29propanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,12297670,C10H11NO,161.20,1.9,33,174,0,2,2,12,CC(C#N)C1=CC=C(C=C1)OC,CC(C#N)C1=CC=C(C=C1)OC
2j,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-%284-biphenylyl%29propanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,13179387,C15H13N,207.27,3.8,23.8,248,0,1,2,16,CC(C#N)C1=CC=C(C=C1)C2=CC=CC=C2,CC(C#N)C1=CC=C(C=C1)C2=CC=CC=C2
2k,smiles_fallback,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/smiles/CC%28C%23N%29c1ccc%28-c2ccccc2%29cc1F/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",name query: HTTP Error 404: PUGREST.NotFound,20511087,C15H12FN,225.26,3.9,23.8,287,0,2,2,17,CC(C#N)C1=C(C=C(C=C1)C2=CC=CC=C2)F,CC(C#N)C1=C(C=C(C=C1)C2=CC=CC=C2)F
2l,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/methyl%204-%281-cyanoethyl%29benzoate/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,19885048,C11H11NO2,189.21,2.6,50.1,245,0,3,3,14,CC(C#N)C1=CC=C(C=C1)C(=O)OC,CC(C#N)C1=CC=C(C=C1)C(=O)OC
2m,name,2026-07-16,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-%284-%28trifluoromethyl%29phenyl%29propanenitrile/property/MolecularFormula,MolecularWeight,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CanonicalSMILES,IsomericSMILES/JSON",,43316800,C10H8F3N,199.17,3,23.8,229,0,4,1,14,CC(C#N)C1=CC=C(C=C1)C(F)(F)F,CC(C#N)C1=CC=C(C=C1)C(F)(F)F
