id,qmdesc_version,torch_version,rdkit_version,reaction_centre_atom_index,axis_directly_aromatic,centre_hirshfeld_charge_pred,centre_fukui_nucleophilic_pred,centre_fukui_electrophilic_pred,centre_nmr_shielding_pred,centre_cn_bond_order_pred,centre_cn_bond_length_pred,centre_aryl_bond_order_pred,centre_aryl_bond_length_pred,molecule_charge_abs_mean_pred,molecule_fukui_neu_max_pred,molecule_fukui_elec_max_pred,descriptor_semantics,model_target_level,source_url,source_doi
2a,1.0.6,2.13.0+cpu,2025.09.6,1,1,0.013539767824113369,0.007480250671505928,0.011774725280702114,159.93304443359375,1.0369421243667603,1.4444921016693115,0.968610405921936,1.514495611190796,0.04308671876788139,0.08928237110376358,0.08352030813694,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2b,1.0.6,2.13.0+cpu,2025.09.6,1,1,0.018868766725063324,0.0083284517750144,0.012526110745966434,161.4646759033203,1.0406821966171265,1.4450453519821167,0.9669544696807861,1.5161834955215454,0.04325900599360466,0.08812166005373001,0.08383722603321075,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2c,1.0.6,2.13.0+cpu,2025.09.6,8,1,0.013289844617247581,0.006453510839492083,0.011623415164649487,159.9330291748047,1.0369421243667603,1.4444921016693115,0.9671926498413086,1.515329360961914,0.04801291972398758,0.09746149927377701,0.08166182786226273,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2d,1.0.6,2.13.0+cpu,2025.09.6,1,1,0.015197196044027805,0.016984466463327408,0.023592306300997734,159.57464599609375,1.0403938293457031,1.4438629150390625,0.9674651622772217,1.5150513648986816,0.04880572482943535,0.14263048768043518,0.11049015820026398,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2e,1.0.6,2.13.0+cpu,2025.09.6,5,1,0.012725413776934147,0.017568979412317276,0.020246637985110283,153.2552947998047,1.0428225994110107,1.442275047302246,0.966753363609314,1.5146211385726929,0.041587695479393005,0.12402696162462234,0.10334920883178711,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2f,1.0.6,2.13.0+cpu,2025.09.6,4,1,0.013097862713038921,0.013729791156947613,0.01840377226471901,154.78147888183594,1.0431252717971802,1.442183017730713,0.9650753140449524,1.5144975185394287,0.04522044584155083,0.22010090947151184,0.1267629861831665,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2g,1.0.6,2.13.0+cpu,2025.09.6,7,1,0.012388651259243488,0.015165038406848907,0.01608290895819664,155.88685607910156,1.0428369045257568,1.4422149658203125,0.9648263454437256,1.5150063037872314,0.0590948760509491,0.1100679337978363,0.08674061298370361,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2h,1.0.6,2.13.0+cpu,2025.09.6,1,1,0.01426558755338192,0.014644235372543335,0.01986362412571907,160.22877502441406,1.0395493507385254,1.4439269304275513,0.9682646989822388,1.5149154663085938,0.0477018840610981,0.11918587237596512,0.0867706835269928,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2i,1.0.6,2.13.0+cpu,2025.09.6,1,1,0.013753759674727917,0.013351969420909882,0.015728920698165894,161.15577697753906,1.0380260944366455,1.4449915885925293,0.9696094989776611,1.5137892961502075,0.0541861318051815,0.12672409415245056,0.10126081109046936,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
2j,1.0.6,2.13.0+cpu,2025.09.6,1,1,0.015589500777423382,0.009917855262756348,0.016300911083817482,160.21200561523438,1.037736415863037,1.445379614830017,0.9674821496009827,1.5136380195617676,0.04245695844292641,0.08749935030937195,0.07737156748771667,ml_predicted_b3lyp_def2svp_targets_not_direct_quantum_chemistry,B3LYP/def2-SVP as documented by qmdesc,https://qmdesc.readthedocs.io/en/latest/,10.1039/D0SC04823J
