id,rdkit_version,rdkit_canonical_smiles,rdkit_formula,rdkit_mw,rdkit_logp,rdkit_mr,rdkit_tpsa,rdkit_fraction_csp3,rdkit_rotatable,rdkit_aromatic_rings,rdkit_heavy_atoms,rdkit_bertz,reaction_centre_atom_index,product_nitrile_carbon_index,aryl_attachment_atom_index,axis_directly_aromatic,naphthyl_position,halogen_type_f,halogen_type_cl,halogen_type_br,halogen_type_i,aryl_halogen_atomic_number_sum,ortho_sub_vdw_radius,ortho_sub_atomic_number_max,discriminating_descriptor_semantics
2a,2025.09.6,CC(C#N)c1ccc2ccccc2c1,C13H11N,181.238,3.4668800000000024,57.976000000000035,23.79,0.15384615384615385,1,2,14,493.8068768143131,1,2,4,1,2,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2b,2025.09.6,CC(C#N)c1cccc2ccccc12,C13H11N,181.238,3.4668800000000015,57.97600000000003,23.79,0.15384615384615385,1,2,14,488.5568768143131,1,2,4,1,1,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2c,2025.09.6,COc1ccc2cc(C(C)C#N)ccc2c1,C14H13NO,211.26399999999998,3.475480000000002,64.52800000000003,33.019999999999996,0.21428571428571427,2,2,16,554.1541637706899,8,10,7,1,2,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2d,2025.09.6,CC(C#N)c1ccccc1,C9H9N,131.17799999999997,2.3136800000000006,40.47000000000002,23.79,0.2222222222222222,1,1,10,232.6552208657395,1,2,4,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2e,2025.09.6,CCCCCC(C#N)c1ccccc1,C13H17N,187.28600000000003,3.874080000000003,58.938000000000045,23.79,0.46153846153846156,5,1,14,283.8539145304206,5,6,8,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2f,2025.09.6,N#CC(CCCBr)c1ccccc1,C11H12BrN,238.12800000000004,3.468880000000002,57.824000000000034,23.79,0.36363636363636365,4,1,13,275.89179495660295,4,5,7,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2g,2025.09.6,COC(=O)CCCC(C#N)c1ccccc1,C13H15NO2,217.26800000000003,2.637080000000001,60.66300000000004,50.09,0.38461538461538464,5,1,16,367.269025830625,7,8,10,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2h,2025.09.6,Cc1ccc(C(C)C#N)cc1,C10H11N,145.20499999999998,2.6221000000000005,45.20700000000002,23.79,0.3,1,1,11,265.9194057797522,1,2,4,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2i,2025.09.6,COc1ccc(C(C)C#N)cc1,C10H11NO,161.20399999999998,2.32228,47.02200000000003,33.019999999999996,0.3,2,1,12,283.7020435150651,1,2,4,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2j,2025.09.6,CC(C#N)c1ccc(-c2ccccc2)cc1,C15H13N,207.276,3.980680000000003,65.90600000000003,23.79,0.13333333333333333,2,2,16,491.20820265074866,1,2,4,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2k,2025.09.6,CC(C#N)c1ccc(-c2ccccc2)cc1F,C15H12FN,225.266,4.119780000000002,65.86400000000002,23.79,0.13333333333333333,2,2,17,554.8796574169024,1,2,4,1,0,1,0,0,0,9,1.5,9,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2l,2025.09.6,COC(=O)c1ccc(C(C)C#N)cc1,C11H11NO2,189.214,2.1002799999999997,51.80950000000003,50.09,0.2727272727272727,2,1,14,361.8690757680919,8,10,7,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2m,2025.09.6,CC(C#N)c1ccc(C(F)(F)F)cc1,C10H8F3N,199.17499999999995,3.332480000000002,45.47200000000002,23.79,0.3,1,1,14,345.1152396441675,1,2,4,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2n,2025.09.6,CC(C#N)c1ccc(C#N)cc1,C10H8N2,156.188,2.18536,45.185000000000024,47.58,0.2,1,1,12,337.5867082461784,1,2,4,1,0,0,0,0,0,0,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2o,2025.09.6,CC(C#N)c1ccc(F)cc1,C9H8FN,149.168,2.4527800000000006,40.42800000000002,23.79,0.2222222222222222,1,1,11,270.609361715645,1,2,4,1,0,1,0,0,0,9,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2p,2025.09.6,CC(C#N)c1ccc(Cl)cc1,C9H8ClN,165.623,2.967080000000001,45.48000000000002,23.79,0.2222222222222222,1,1,11,270.609361715645,1,2,4,1,0,0,1,0,0,17,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2q,2025.09.6,CC(C#N)c1ccc(Br)cc1,C9H8BrN,210.07399999999998,3.0761800000000017,48.170000000000016,23.79,0.2222222222222222,1,1,11,270.609361715645,1,2,4,1,0,0,0,1,0,35,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2r,2025.09.6,CC(C#N)c1cccc(Cl)c1,C9H8ClN,165.623,2.967080000000001,45.48000000000002,23.79,0.2222222222222222,1,1,11,287.85936171564504,1,2,4,1,0,0,1,0,0,17,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2s,2025.09.6,CC(C#N)c1cccc(Br)c1,C9H8BrN,210.07399999999996,3.0761800000000017,48.17000000000002,23.79,0.2222222222222222,1,1,11,287.85936171564504,1,2,4,1,0,0,0,1,0,35,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2t,2025.09.6,CC(C#N)c1ccccc1Cl,C9H8ClN,165.62299999999996,2.967080000000001,45.48000000000002,23.79,0.2222222222222222,1,1,11,287.85936171564504,1,2,4,1,0,0,1,0,0,17,1.8,17,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2u,2025.09.6,CC(C#N)c1ccccc1Br,C9H8BrN,210.07399999999996,3.0761800000000017,48.170000000000016,23.79,0.2222222222222222,1,1,11,287.85936171564504,1,2,4,1,0,0,0,1,0,35,1.9,35,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2v,2025.09.6,CC(C#N)c1ccccc1F,C9H8FN,149.16799999999995,2.4527800000000006,40.42800000000002,23.79,0.2222222222222222,1,1,11,287.85936171564504,1,2,4,1,0,1,0,0,0,9,1.5,9,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2w,2025.09.6,CC(C#N)c1ccc(Cl)cc1Cl,C9H7Cl2N,200.06799999999998,3.6204800000000015,50.490000000000016,23.79,0.2222222222222222,1,1,12,327.790687139693,1,2,4,1,0,0,1,0,0,34,1.8,17,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2x,2025.09.6,CC(C#N)c1c(Cl)cccc1Cl,C9H7Cl2N,200.068,3.6204800000000015,50.49000000000002,23.79,0.2222222222222222,1,1,12,307.540687139693,1,2,4,1,0,0,1,0,0,34,1.8,17,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2y,2025.09.6,CC(C#N)c1ccc(Br)c(F)c1,C9H7BrFN,228.064,3.2152800000000017,48.128000000000014,23.79,0.2222222222222222,1,1,12,329.790687139693,1,2,4,1,0,1,0,1,0,44,0.0,0,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
2z,2025.09.6,N#CC1CCCc2ccccc21,C11H11N,157.216,2.6300800000000013,47.73400000000003,23.79,0.36363636363636365,0,1,12,322.021151849827,2,1,11,1,0,0,0,0,0,0,1.7,6,audited_2d_topology_for_prediction_only_not_authoritative_gate_distance
