id,name_en,name_zh,naming_status
2a,(S)-2-(naphthalen-2-yl)propanenitrile,(S)-2-(萘-2-基)丙腈,translated_from_audited_english_name
2b,(S)-2-(naphthalen-1-yl)propanenitrile,(S)-2-(萘-1-基)丙腈,translated_from_audited_english_name
2c,(S)-2-(6-methoxynaphthalen-2-yl)propanenitrile,(S)-2-(6-甲氧基萘-2-基)丙腈,translated_from_audited_english_name
2d,(S)-2-phenylpropanenitrile,(S)-2-苯基丙腈,translated_from_audited_english_name
2e,(S)-2-phenylheptanenitrile,(S)-2-苯基庚腈,translated_from_audited_english_name
2f,(S)-5-bromo-2-phenylpentanenitrile,(S)-5-溴-2-苯基戊腈,translated_from_audited_english_name
2g,methyl (S)-5-cyano-5-phenylpentanoate,(S)-5-氰基-5-苯基戊酸甲酯,translated_from_audited_english_name
2h,(S)-2-(p-tolyl)propanenitrile,(S)-2-(对甲苯基)丙腈,translated_from_audited_english_name
2i,(S)-2-(4-methoxyphenyl)propanenitrile,(S)-2-(4-甲氧基苯基)丙腈,translated_from_audited_english_name
2j,(S)-2-([1,1'-biphenyl]-4-yl)propanenitrile,(S)-2-([1,1'-联苯]-4-基)丙腈,translated_from_audited_english_name
2k,(S)-2-(2-fluoro-[1,1'-biphenyl]-4-yl)propanenitrile,(S)-2-(2-氟-[1,1'-联苯]-4-基)丙腈,translated_from_audited_english_name
2l,methyl (S)-4-(1-cyanoethyl)benzoate,(S)-4-(1-氰乙基)苯甲酸甲酯,translated_from_audited_english_name
2m,(S)-2-(4-(trifluoromethyl)phenyl)propanenitrile,(S)-2-[4-(三氟甲基)苯基]丙腈,translated_from_audited_english_name
2n,(S)-4-(1-cyanoethyl)benzonitrile,(S)-4-(1-氰乙基)苯甲腈,translated_from_audited_english_name
2o,(S)-2-(4-fluorophenyl)propanenitrile,(S)-2-(4-氟苯基)丙腈,translated_from_audited_english_name
2p,(S)-2-(4-chlorophenyl)propanenitrile,(S)-2-(4-氯苯基)丙腈,translated_from_audited_english_name
2q,(S)-2-(4-bromophenyl)propanenitrile,(S)-2-(4-溴苯基)丙腈,translated_from_audited_english_name
2r,(S)-2-(3-chlorophenyl)propanenitrile,(S)-2-(3-氯苯基)丙腈,translated_from_audited_english_name
2s,(S)-2-(3-bromophenyl)propanenitrile,(S)-2-(3-溴苯基)丙腈,translated_from_audited_english_name
2t,(S)-2-(2-chlorophenyl)propanenitrile,(S)-2-(2-氯苯基)丙腈,translated_from_audited_english_name
2u,(S)-2-(2-bromophenyl)propanenitrile,(S)-2-(2-溴苯基)丙腈,translated_from_audited_english_name
2v,(S)-2-(2-fluorophenyl)propanenitrile,(S)-2-(2-氟苯基)丙腈,translated_from_audited_english_name
2w,"(S)-2-(2,4-dichlorophenyl)propanenitrile","(S)-2-(2,4-二氯苯基)丙腈",translated_from_audited_english_name
2x,"(S)-2-(2,6-dichlorophenyl)propanenitrile","(S)-2-(2,6-二氯苯基)丙腈",translated_from_audited_english_name
2y,(S)-2-(4-bromo-3-fluorophenyl)propanenitrile,(S)-2-(4-溴-3-氟苯基)丙腈,translated_from_audited_english_name
2z,"(S)-1,2,3,4-tetrahydronaphthalene-1-carbonitrile","(S)-1,2,3,4-四氢萘-1-甲腈",translated_from_audited_english_name
3a,(R)-2-(thiophen-2-yl)propanenitrile,(R)-2-(噻吩-2-基)丙腈,translated_from_audited_english_name
3b,"(S)-2-chloro-5,6,7,8-tetrahydroquinoline-5-carbonitrile","(S)-2-氯-5,6,7,8-四氢喹啉-5-甲腈",translated_from_audited_english_name
3c,"(R)-1-oxo-1,2,3,4-tetrahydronaphthalene-2-carbonitrile","(R)-1-氧代-1,2,3,4-四氢萘-2-甲腈",translated_from_audited_english_name
3d,(R)-2-phenethyl-4-(trimethylsilyl)but-3-ynenitrile,(R)-2-苯乙基-4-(三甲基硅基)丁-3-炔腈,translated_from_audited_english_name
