id,product_name,pubchem_query,manual_smiles,scope_group,source_pdf_page,yield_pct,ee_pct,radical_class,benzylic,aryl_rings,fused_aromatic,hetero_n,hetero_s,cyclic_center,alpha_chain_carbons,ortho_sub_count,meta_sub_count,para_sub_count,hammett_sigma_mp,halogen_count,edg_count,ewg_count,sidechain_polar_count,alpha_carbonyl,propargyl,source_doi,notes
2a,(S)-2-(naphthalen-2-yl)propanenitrile,2-(naphthalen-2-yl)propanenitrile,CC(C#N)c1ccc2ccccc2c1,naphthyl,26,95,90,benzylic,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1021/acs.orglett.5c05116,2-naphthyl model substrate
2b,(S)-2-(naphthalen-1-yl)propanenitrile,2-(naphthalen-1-yl)propanenitrile,CC(C#N)c1cccc2ccccc12,naphthyl,26,84,90,benzylic,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1021/acs.orglett.5c05116,1-naphthyl regioisomer
2c,(S)-2-(6-methoxynaphthalen-2-yl)propanenitrile,2-(6-methoxynaphthalen-2-yl)propanenitrile,COc1ccc2cc(C(C)C#N)ccc2c1,naphthyl,27,71,80,benzylic,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,10.1021/acs.orglett.5c05116,naphthyl methoxy position not mapped onto benzene Hammett scale
2d,(S)-2-phenylpropanenitrile,2-phenylpropanenitrile,CC(C#N)c1ccccc1,alkyl_series,27,86,87,benzylic,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1021/acs.orglett.5c05116,unsubstituted phenyl reference
2e,(S)-2-phenylheptanenitrile,2-phenylheptanenitrile,CCCCCC(C#N)c1ccccc1,alkyl_series,28,61,91,benzylic,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10.1021/acs.orglett.5c05116,long alkyl substituent at stereocentre
2f,(S)-5-bromo-2-phenylpentanenitrile,5-bromo-2-phenylpentanenitrile,BrCCCC(C#N)c1ccccc1,alkyl_series,28,74,85,benzylic,1,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,10.1021/acs.orglett.5c05116,terminal bromide
2g,methyl (S)-5-cyano-5-phenylpentanoate,methyl 5-cyano-5-phenylpentanoate,COC(=O)CCCC(C#N)c1ccccc1,alkyl_series,28,50,80,benzylic,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,10.1021/acs.orglett.5c05116,terminal ester
2h,(S)-2-(p-tolyl)propanenitrile,2-(4-methylphenyl)propanenitrile,CC(C#N)c1ccc(C)cc1,para_edg,29,79,79,benzylic,1,1,0,0,0,0,1,0,0,1,-0.17,0,1,0,0,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p from Hansch Leo Taft
2i,(S)-2-(4-methoxyphenyl)propanenitrile,2-(4-methoxyphenyl)propanenitrile,CC(C#N)c1ccc(OC)cc1,para_edg,29,76,60,benzylic,1,1,0,0,0,0,1,0,0,1,-0.27,0,1,0,1,0,0,10.1021/acs.orglett.5c05116,Hammett sigma_p from Hansch Leo Taft
2j,"(S)-2-([1,1'-biphenyl]-4-yl)propanenitrile",2-(4-biphenylyl)propanenitrile,CC(C#N)c1ccc(-c2ccccc2)cc1,biphenyl,29,70,92,benzylic,1,2,0,0,0,0,1,0,0,1,-0.01,0,0,0,0,0,0,10.1021/acs.orglett.5c05116,para phenyl substituent
