id,label,manual_smiles,scope_group,aryl_rings,fused_aromatic,cyclic_center,alpha_chain_carbons,ortho_sub_count,meta_sub_count,para_sub_count,hammett_sigma_mp,halogen_count,edg_count,ewg_count,sidechain_polar_count,design_rationale,descriptor_engine,descriptor_semantics,canonical_smiles,reaction_centre_atom_index,nitrile_count,gasteiger_centre_charge,gasteiger_nitrile_c_charge,gasteiger_aryl_attachment_charge,gasteiger_max_abs_charge,centre_crippen_logp_contrib,centre_crippen_mr_contrib,mol_logp,mol_mr,mol_tpsa,mol_fraction_csp3,mol_rotatable_bonds,mol_bertz_complexity,mol_heavy_atoms,mol_heteroatoms,centre_heavy_degree,centre_aromatic_neighbours,centre_radius2_atomic_number_sum,centre_radius2_heavy_count,min_hetero_topological_distance
V01,2-phenylbutanenitrile,CCC(C#N)c1ccccc1,alkyl_interpolation,1,0,0,2,0,0,0,0.0,0,0,0,0,between 2d and 2e alkyl length,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CCC(C#N)c1ccccc1,2,1,0.07096985756889976,0.0703187153279461,-0.030825187009197348,0.19768781755627787,0.1193,2.582,2.703780000000001,45.087000000000025,23.79,0.3,2.0,245.32532913285405,11.0,1.0,3.0,1.0,43.0,7.0,2.0
V02,2-phenylpentanenitrile,CCCC(C#N)c1ccccc1,alkyl_interpolation,1,0,0,3,0,0,0,0.0,0,0,0,0,between 2d and 2e alkyl length,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CCCC(C#N)c1ccccc1,3,1,0.07122200773644408,0.0703294930804259,-0.030814896506944998,0.19768763237152548,0.1193,2.582,3.0938800000000013,49.704000000000036,23.79,0.36363636363636365,3.0,258.082643467882,12.0,1.0,3.0,1.0,43.0,7.0,2.0
V03,2-phenylhexanenitrile,CCCCC(C#N)c1ccccc1,alkyl_interpolation,1,0,0,4,0,0,0,0.0,0,0,0,0,between 2d and 2e alkyl length,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CCCCC(C#N)c1ccccc1,4,1,0.07123195391142227,0.07032967764475372,-0.030814718755460685,0.19768763089714597,0.1193,2.582,3.4839800000000025,54.32100000000004,23.79,0.4166666666666667,4.0,270.9259927529593,13.0,1.0,3.0,1.0,43.0,7.0,2.0
V04,2-(4-ethylphenyl)propanenitrile,CC(C#N)c1ccc(CC)cc1,para_edg_neighbour,1,0,0,1,0,0,1,-0.15,0,1,0,0,near p-Me 2h,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CCc1ccc(C(C)C#N)cc1,1,1,0.06841162965462959,0.07003549403003281,-0.031070326496844217,0.1976988444766101,0.1193,2.582,2.8760800000000017,49.84800000000003,23.79,0.36363636363636365,2.0,278.86757665892844,12.0,1.0,3.0,1.0,37.0,6.0,2.0
V05,2-(3-methylphenyl)propanenitrile,CC(C#N)c1cccc(C)c1,meta_edg_neighbour,1,0,0,1,0,1,0,-0.07,0,1,0,0,positional isomer near 2h,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,Cc1cccc(C(C)C#N)c1,1,1,0.0684209764344997,0.07003566590599675,-0.030826293932315847,0.19769884310874242,0.1193,2.582,2.6221000000000005,45.20700000000002,23.79,0.3,1.0,283.16940577975225,11.0,1.0,3.0,1.0,37.0,6.0,2.0
V06,2-(2-methylphenyl)propanenitrile,CC(C#N)c1ccccc1C,ortho_edg_neighbour,1,0,0,1,1,0,0,0.0,0,1,0,0,ortho steric boundary,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,Cc1ccccc1C(C)C#N,1,1,0.06866606366070249,0.07004592392409849,-0.028156177314232995,0.1976986683634694,0.1193,2.582,2.6221000000000005,45.20700000000003,23.79,0.3,1.0,283.16940577975225,11.0,1.0,3.0,1.0,37.0,6.0,2.0
V07,2-(4-iodophenyl)propanenitrile,CC(C#N)c1ccc(I)cc1,para_halogen_neighbour,1,0,0,1,0,0,1,0.18,1,0,1,0,halogen interpolation beyond F Cl Br,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(I)cc1,1,1,0.06841250485725574,0.07003550130917703,-0.031016325800747122,0.1976988444491145,0.1193,2.582,2.918280000000001,53.18700000000002,23.79,0.2222222222222222,1.0,270.609361715645,11.0,2.0,3.0,1.0,37.0,6.0,2.0
V08,2-(3-fluorophenyl)propanenitrile,CC(C#N)c1cccc(F)c1,meta_halogen_neighbour,1,0,0,1,0,1,0,0.34,1,0,1,0,meta halogen interpolation,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1cccc(F)c1,1,1,0.0685136725637658,0.07003730498997399,-0.02817975377615121,0.2070249001805776,0.1193,2.582,2.4527800000000006,40.42800000000002,23.79,0.2222222222222222,1.0,287.85936171564504,11.0,2.0,3.0,1.0,37.0,6.0,2.0
V09,"2-(3,4-difluorophenyl)propanenitrile",CC(C#N)c1ccc(F)c(F)c1,polyhalogen_neighbour,1,0,0,1,0,1,1,0.4,2,0,1,0,between mono and polyhalogen examples,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(F)c(F)c1,1,1,0.0685171831744472,0.07003733433679403,-0.027965657491721675,0.20378911752489848,0.1193,2.582,2.5918800000000006,40.38600000000002,23.79,0.2222222222222222,1.0,327.790687139693,12.0,3.0,3.0,1.0,37.0,6.0,2.0
V10,"2-(3,4-dichlorophenyl)propanenitrile",CC(C#N)c1ccc(Cl)c(Cl)c1,polyhalogen_boundary,1,0,0,1,0,1,1,0.6,2,0,1,0,strong EWG boundary expected to abstain,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(Cl)c(Cl)c1,1,1,0.06846468299282739,0.07003641708671454,-0.029502287086076686,0.19769883731307214,0.1193,2.582,3.6204800000000015,50.490000000000016,23.79,0.2222222222222222,1.0,327.790687139693,12.0,3.0,3.0,1.0,37.0,6.0,2.0
V11,"2-(2,5-dichlorophenyl)propanenitrile",CC(C#N)c1cc(Cl)ccc1Cl,polyhalogen_neighbour,1,0,0,1,1,1,0,0.37,2,0,1,0,positional interpolation among 2w and 2x,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1cc(Cl)ccc1Cl,1,1,0.06991712324948778,0.07009302543676625,-0.010927750366632247,0.19769790159628609,0.1193,2.582,3.6204800000000015,50.490000000000016,23.79,0.2222222222222222,1.0,327.790687139693,12.0,3.0,3.0,1.0,37.0,6.0,2.0
V12,"2-(2,4-difluorophenyl)propanenitrile",CC(C#N)c1ccc(F)cc1F,polyhalogen_neighbour,1,0,0,1,1,0,1,0.06,2,0,1,0,positional interpolation among halogens,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(F)cc1F,1,1,0.07128735486987779,0.07014840612262647,0.004932586015488954,0.2069231739814674,0.1193,2.582,2.5918800000000006,40.38600000000002,23.79,0.2222222222222222,1.0,327.790687139693,12.0,3.0,3.0,1.0,37.0,6.0,2.0
V13,2-(4-(trifluoromethoxy)phenyl)propanenitrile,CC(C#N)c1ccc(OC(F)(F)F)cc1,para_ewg_neighbour,1,0,0,1,0,0,1,0.35,3,0,1,1,electronic neighbour between halogen and ester,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(OC(F)(F)F)cc1,1,1,0.06841577775801261,0.07003552892245589,-0.030820414499286297,0.5725549783633418,0.1193,2.582,3.2122800000000016,47.15300000000002,33.019999999999996,0.3,2.0,363.7392701430595,15.0,5.0,3.0,1.0,37.0,6.0,2.0
V14,2-(4-(methylthio)phenyl)propanenitrile,CC(C#N)c1ccc(SC)cc1,para_edg_neighbour,1,0,0,1,0,0,1,0.0,0,1,0,1,polarizable para donor,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CSc1ccc(C(C)C#N)cc1,1,1,0.06841260500733383,0.0700355021805704,-0.031010746111009353,0.19769884444575347,0.1193,2.582,3.0355800000000013,52.251000000000026,23.79,0.3,2.0,283.7020435150651,12.0,2.0,3.0,1.0,37.0,6.0,2.0
V15,2-(4-acetylphenyl)propanenitrile,CC(C#N)c1ccc(C(C)=O)cc1,para_ewg_neighbour,1,0,0,1,0,0,1,0.5,0,0,1,1,near ester and CF3 EWG region,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(=O)c1ccc(C(C)C#N)cc1,1,1,0.06841203349710592,0.07003549726008122,-0.031043425829099316,0.29454624563292464,0.1193,2.582,2.516280000000001,50.47450000000003,40.86,0.2727272727272727,2.0,345.34818272154905,13.0,2.0,3.0,1.0,37.0,6.0,2.0
V16,4-(1-cyanoethyl)benzamide,CC(C#N)c1ccc(C(N)=O)cc1,para_ewg_neighbour,1,0,0,1,0,0,1,0.36,0,0,1,2,polar EWG near ester region,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc(C(N)=O)cc1,1,1,0.06841205238278658,0.07003549733666692,-0.031041030421530294,0.3655954878744296,0.1193,2.582,1.41258,48.98790000000002,66.88,0.2,2.0,348.18264957768565,13.0,3.0,3.0,1.0,37.0,6.0,2.0
V17,2-(6-fluoronaphthalen-2-yl)propanenitrile,CC(C#N)c1ccc2cc(F)ccc2c1,naphthyl_neighbour,2,1,0,1,0,0,0,0.0,1,0,1,0,naphthyl analogue of 2c,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc2cc(F)ccc2c1,1,1,0.06843310531807736,0.07003587200665193,-0.030450888716132114,0.20701253481153845,0.1193,2.582,3.6059800000000024,57.93400000000003,23.79,0.15384615384615385,1.0,539.7175171281459,15.0,2.0,3.0,1.0,37.0,6.0,2.0
V18,2-(6-(trifluoromethyl)naphthalen-2-yl)propanenitrile,CC(C#N)c1ccc2cc(C(F)(F)F)ccc2c1,naphthyl_boundary,2,1,0,1,0,0,0,0.0,3,0,1,0,naphthyl electronic boundary,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1ccc2cc(C(F)(F)F)ccc2c1,1,1,0.06843310517977717,0.07003587200637673,-0.03045092474112536,0.415908196212841,0.1193,2.582,4.485680000000002,62.978000000000016,23.79,0.21428571428571427,1.0,622.9522006763394,18.0,4.0,3.0,1.0,37.0,6.0,2.0
V19,"2-([1,1-biphenyl]-3-yl)propanenitrile",CC(C#N)c1cccc(-c2ccccc2)c1,biphenyl_neighbour,2,0,0,1,0,1,0,0.0,0,0,0,0,positional analogue of 2j,RDKit 2025.09.6,2D_empirical_proxies_not_quantum_chemistry,CC(C#N)c1cccc(-c2ccccc2)c1,1,1,0.06843275514695754,0.07003586907715913,-0.030472238122999984,0.19769884153859563,0.1193,2.582,3.980680000000002,65.90600000000003,23.79,0.13333333333333333,2.0,508.45820265074866,16.0,1.0,3.0,1.0,37.0,6.0,2.0
