id,scope_group,observed,predicted,selected_config,selection_reason,validation,target,nominal_coverage,global_half_width,group_or_global_half_width,interval_source,empirical_q80_half_width,half_width,global_lower,global_upper,lower,upper,empirical_lower,empirical_upper,covered
2d,alkyl_series,86.0,84.10549531907267,knn|steric_hybrid|k=4|transformed=False,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,58.63462681220672,100.0,58.63462681220672,100.0,71.64927823353322,96.56171240461212,True
2e,alkyl_series,61.0,86.47086850686595,knn|steric_hybrid|k=4|transformed=False,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,61.0,100.0,61.0,100.0,74.0146514213265,98.9270855924054,True
2f,alkyl_series,74.0,86.45621708553945,knn|steric_hybrid|k=4|transformed=False,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,60.985348578673495,100.0,60.985348578673495,100.0,74.0,98.9124341710789,True
2g,alkyl_series,50.0,86.39770477154306,knn|steric_hybrid|k=4|transformed=False,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,60.92683626467711,100.0,60.92683626467711,100.0,73.94148768600361,98.85392185708251,False
2j,biphenyl,70.0,88.67835845423338,ridge|mechanism_hybrid|alpha=3.0,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,63.20748994736742,100.0,63.20748994736742,100.0,76.22214136869393,100.0,True
2k,biphenyl,70.0,87.5638764714339,ridge|mechanism_hybrid|alpha=3.0,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,62.093007964567946,100.0,62.093007964567946,100.0,75.10765938589445,100.0,True
2z,cyclic_benzylic,70.0,82.18280560216783,ridge|physchem_compact|alpha=30.0,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,56.71193709530188,100.0,56.71193709530188,100.0,69.72658851662838,94.63902268770728,True
2r,meta_halogen,80.0,81.511390109952,ridge|physchem_compact|alpha=30.0,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,56.04052160308605,100.0,56.04052160308605,100.0,69.05517302441255,93.96760719549145,True
2s,meta_halogen,80.0,81.44157722488913,ridge|physchem_compact|alpha=30.0,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,55.970708718023175,100.0,55.970708718023175,100.0,68.98536013934968,93.89779431042858,True
2a,naphthyl,95.0,74.03587575765462,ridge|physchem_compact|alpha=3.0,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,48.56500725078867,99.50674426452058,48.56500725078867,99.50674426452058,61.57965867211517,86.49209284319407,True
2b,naphthyl,84.0,74.35044293182483,ridge|physchem_compact|alpha=3.0,"lowest grouped MAE; generated descriptors passed the predeclared >=0.5 point rule or the >=0.3 point plus >=0.05 Spearman rule, with non-worse RMSE",nested_group_holdout,yield,0.9,25.470868506865955,25.470868506865955,global_fallback,12.45621708553945,25.470868506865955,48.879574424958875,99.82131143869078,48.879574424958875,99.82131143869078,61.89422584628538,86.80666001736428,True
