target,config_id,algorithm,feature_set,deployable_from_manual_ui,alpha,k,transformed,max_depth,learning_rate,n_estimators,mae,rmse,median_ae,max_ae,bias,r2,spearman
ee,ridge|mechanism_hybrid|alpha=10.0,ridge,mechanism_hybrid,False,10.0,,,,,,5.309683940039575,9.892853919084864,2.527447108680377,39.32538213069142,2.7666216805739934,0.24316892036809667,0.7719648985965095
ee,knn|mechanism_hybrid|k=6|transformed=False,knn,mechanism_hybrid,False,,6,False,,,,5.332335460421212,9.944944756292001,2.91516931218019,39.056960896215315,1.8444597697541032,0.23517774646457135,0.6901627410426496
ee,ridge|mechanism_hybrid|alpha=3.0,ridge,mechanism_hybrid,False,3.0,,,,,,5.388334503426398,9.933851668990288,2.7419878242927496,40.283600301517694,2.4899803699642793,0.23688303661235066,0.7465306143150572
ee,knn|mechanism_hybrid|k=5|transformed=True,knn,mechanism_hybrid,False,,5,True,,,,5.402387881186619,10.326561880025407,2.528834029311703,42.88925543765633,2.472037000518516,0.17535454542523277,0.6795078381679871
ee,ridge|interaction_hybrid|alpha=3.0,ridge,interaction_hybrid,False,3.0,,,,,,5.424951360929445,9.458964320094367,2.9941137671413856,39.42947578056466,2.9711042112950867,0.308100621602897,0.6750396530915158
ee,ridge|interaction_hybrid|alpha=1.0,ridge,interaction_hybrid,False,1.0,,,,,,5.4397262994212054,9.925214214521349,2.094721442147616,42.04363887144238,2.98554472011579,0.23820951553495517,0.6908501541313375
ee,knn|mechanism_hybrid|k=5|transformed=False,knn,mechanism_hybrid,False,,5,False,,,,5.496651440309597,10.38811088583553,2.7190548614857875,42.66075804350143,1.693102257024995,0.16549504556538497,0.6932560999417452
ee,knn|mechanism_hybrid|k=6|transformed=True,knn,mechanism_hybrid,False,,6,True,,,,5.501672920888922,10.16295251146481,3.024231264934393,40.35943875643585,2.721034941344715,0.20127816263389664,0.6953183392078088
ee,ridge|mechanism_hybrid|alpha=30.0,ridge,mechanism_hybrid,False,30.0,,,,,,5.571860601056928,10.272663428579511,3.0570605599506706,41.11782198015422,2.8128927631763188,0.18394038839791949,0.7599351695444712
ee,xgboost|interaction_hybrid|max_depth=2|learning_rate=0.1|n_estimators=100,xgboost,interaction_hybrid,False,,,,2,0.1,100,5.62385285827396,9.332460352296557,3.8264732196069033,38.46271763386437,1.4420306005136883,0.3264837584700909,0.6400285829037549
ee,xgboost|interaction_hybrid|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,interaction_hybrid,False,,,,1,0.1,100,5.675466006947993,9.383592701942915,3.428642040764217,37.43571915604005,1.7904407323839389,0.31908317803072106,0.6456402194945952
ee,xgboost|mechanism_hybrid|max_depth=2|learning_rate=0.1|n_estimators=100,xgboost,mechanism_hybrid,False,,,,2,0.1,100,5.6911641802847175,9.820013072591081,3.2140717560429124,41.50242022623,1.6430119844711397,0.25427294819940094,0.6247934557752223
ee,ridge|interaction_hybrid|alpha=10.0,ridge,interaction_hybrid,False,10.0,,,,,,5.7213128092975705,9.592401107877738,2.7611164909949792,37.83257028079721,3.0059360118868392,0.2884418013436453,0.6751550740811756
ee,xgboost|manual_expanded|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,manual_expanded,True,,,,1,0.1,100,5.740398514840091,10.394323568960386,2.784539409804246,41.86611613671795,2.207153018312134,0.16449658391573752,0.5248865705502056
ee,knn|discriminating_2d|k=3|transformed=True,knn,discriminating_2d,True,,3,True,,,,5.770037886598306,10.972270000545263,3.03925175477638,43.398177262768186,3.1769478555629367,0.06900202182381832,0.4785213152347232
ee,xgboost|mechanism_hybrid|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,mechanism_hybrid,False,,,,1,0.1,100,5.770149863591462,9.597264253204454,3.770736650900446,39.131998022404375,1.5681952147806453,0.2877201284137325,0.635386957403244
ee,ridge|discriminating_2d|alpha=10.0,ridge,discriminating_2d,True,10.0,,,,,,5.78724670017823,10.464154559893508,3.4029144025804285,42.28562888420254,3.0186620637926396,0.15323274089802885,0.661060696261762
ee,knn|mechanism_hybrid|k=4|transformed=True,knn,mechanism_hybrid,False,,4,True,,,,5.807716414852175,10.610101206564828,2.577094779757381,42.34837977741614,2.425254072439553,0.12944779689348962,0.646855716455312
ee,ridge|qmdesc_hybrid|alpha=10.0,ridge,qmdesc_hybrid,False,10.0,,,,,,5.846084135741423,10.795043118109255,2.929941477167688,43.07901789044183,3.1807750560196437,0.09883455885464343,0.6554483800639108
ee,ridge|discriminating_2d|alpha=30.0,ridge,discriminating_2d,True,30.0,,,,,,5.858446643140294,10.761325515960463,2.3642009916640916,43.68179819438686,2.9756851997251488,0.10445522836011567,0.5874949193506767
ee,xgboost|physchem_compact|max_depth=2|learning_rate=0.1|n_estimators=100,xgboost,physchem_compact,False,,,,2,0.1,100,5.917787418548565,10.272762669733039,3.8746850276427907,42.86480243032895,2.4951340234405,0.18392462090218487,0.544445480004349
ee,knn|discriminating_2d|k=2|transformed=True,knn,discriminating_2d,True,,2,True,,,,5.918931023979332,11.077801556968202,3.3052950025717607,44.999999999999986,3.1027633386685625,0.051007176731452164,0.5294452878169926
ee,ridge|qmdesc_hybrid|alpha=30.0,ridge,qmdesc_hybrid,False,30.0,,,,,,5.940582307894105,11.082589036787832,2.5199086853971124,44.704377687166414,3.078934581255314,0.05018674937504597,0.5832700057516813
ee,xgboost|mechanistic_full|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,mechanistic_full,False,,,,2,0.05,100,5.957399018137579,11.093285253415251,3.677135939101312,42.89841503223545,2.3268293225048122,0.048352464829998776,0.5568046018371974
ee,knn|mechanism_hybrid|k=3|transformed=True,knn,mechanism_hybrid,False,,3,True,,,,5.968300669562018,10.65805654047268,3.1713953486194697,43.282124476567674,2.3817822183696262,0.1215606022620479,0.6489179557213756
ee,knn|mechanism_hybrid|k=4|transformed=False,knn,mechanism_hybrid,False,,4,False,,,,5.977179121955264,10.661697943025462,3.0244745067676035,42.10666291618544,1.788428896836541,0.12096024930058757,0.654073553886535
ee,knn|discriminating_2d|k=5|transformed=True,knn,discriminating_2d,True,,5,True,,,,5.978558851829968,11.058507500251025,2.908380704239441,44.196429574306734,2.301309890180217,0.054309993845736315,0.526992224320999
ee,ridge|manual_expanded|alpha=10.0,ridge,manual_expanded,True,10.0,,,,,,5.9822702511533885,10.671155841925247,3.8473981113607536,42.67778995672481,3.174219498691273,0.1193999806237418,0.6396068096790083
ee,ridge|mechanistic_full|alpha=3.0,ridge,mechanistic_full,False,3.0,,,,,,6.0200609592119445,11.21759020819372,2.90335958337657,43.7737994995545,2.9535954775461826,0.026905747993737794,0.5564608952928535
ee,ridge|interaction_hybrid|alpha=30.0,ridge,interaction_hybrid,False,30.0,,,,,,6.022819354493136,10.19633925808197,3.5850054106551994,40.20245919343414,3.101445663391444,0.1960217126870275,0.6317326285041782
ee,xgboost|steric_hybrid|max_depth=2|learning_rate=0.1|n_estimators=100,xgboost,steric_hybrid,False,,,,2,0.1,100,6.026732067481248,11.043479429597307,3.781967189497003,42.29751233673983,1.9299353241121968,0.056878557375415695,0.5715839832439872
ee,xgboost|interaction_hybrid|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,interaction_hybrid,False,,,,2,0.05,100,6.029828236522838,10.087817414932488,3.9948934109120415,41.12914254584125,1.89479316247312,0.21304446905392316,0.615722403731064
ee,xgboost|steric_hybrid|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,steric_hybrid,False,,,,2,0.05,100,6.034275931891904,11.174912357359867,3.597642288715477,43.743369522198236,2.203761996942165,0.034296028786494515,0.5193405885037069
ee,xgboost|interaction_hybrid|max_depth=1|learning_rate=0.05|n_estimators=100,xgboost,interaction_hybrid,False,,,,1,0.05,100,6.039487166966699,10.203242363437717,4.1598795271023405,41.18149589507479,2.090767642747035,0.19493272861391686,0.5795419307753564
ee,xgboost|physchem_compact|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,physchem_compact,False,,,,1,0.1,100,6.046522077900321,10.293670343448683,4.130319682857184,42.61071734297863,2.237048032843259,0.18059940035730104,0.4828942853463504
ee,xgboost|discriminating_2d|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,discriminating_2d,True,,,,1,0.1,100,6.04875271132091,10.523740344146127,3.1369887867565183,41.54100614674873,2.0307135967462835,0.14356183168113434,0.49673699315706743
ee,knn|interaction_hybrid|k=2|transformed=True,knn,interaction_hybrid,False,,2,True,,,,6.0562924007044785,11.168553180351202,3.2510102780619903,44.999999999999986,4.541776269145428,0.03539479985109051,0.625822042519046
ee,knn|discriminating_2d|k=6|transformed=True,knn,discriminating_2d,True,,6,True,,,,6.072027806242007,11.054808813736363,3.141140836855122,44.16696796644513,2.183306392686254,0.05494248894955256,0.4609892842886234
ee,ridge|mechanistic_full|alpha=10.0,ridge,mechanistic_full,False,10.0,,,,,,6.086578346768288,10.987783004801736,3.568870137554285,42.98999146667255,3.0217804548516387,0.06636760154008114,0.5791455272195541
ee,xgboost|manual_core|max_depth=1|learning_rate=0.05|n_estimators=100,xgboost,manual_core,True,,,,1,0.05,100,6.09037203595282,10.756185487929883,3.674594281651963,43.49657318311827,2.1804608825963694,0.10531051814874481,0.5494342629082222
ee,ridge|manual_expanded|alpha=3.0,ridge,manual_expanded,True,3.0,,,,,,6.094895315152835,10.612133804445703,3.4894065115042068,42.99769076547635,3.1023079517356256,0.12911421816122404,0.6709162339290297
