target,config_id,algorithm,feature_set,deployable_from_manual_ui,alpha,k,transformed,max_depth,learning_rate,n_estimators,mae,rmse,median_ae,max_ae,bias,r2,spearman
yield,ridge|physchem_compact|alpha=30.0,ridge,physchem_compact,False,30.0,,,,,,5.807223985558486,7.54364944041854,4.493608517621574,18.052043544286093,0.5600347790538015,0.36229538341571144,0.2400436008192385
yield,ridge|physchem_compact|alpha=10.0,ridge,physchem_compact,False,10.0,,,,,,6.59482647405008,8.607298609839782,4.06556101084097,19.363994465792885,-0.8922794501545318,0.16978551809147102,0.23283199049419698
yield,knn|physchem_compact|k=5|transformed=False,knn,physchem_compact,False,,5,False,,,,6.914476226921782,8.978317866297724,4.4948141488583815,22.12030250759493,2.6928603863510046,0.09666982304227345,0.2726675522896644
yield,knn|physchem_compact|k=6|transformed=False,knn,physchem_compact,False,,6,False,,,,6.990498841800898,8.889830377841058,5.306848042068964,21.815449482323217,2.970039319084731,0.11438795697853055,0.274041192351577
yield,knn|mechanism_hybrid|k=5|transformed=False,knn,mechanism_hybrid,False,,5,False,,,,7.068414609496103,9.024674004943371,5.288153786626246,23.79881662364531,3.7307636709010774,0.08731773679864696,0.34066273535434133
yield,ridge|mechanism_hybrid|alpha=1.0,ridge,mechanism_hybrid,False,1.0,,,,,,7.142305679021818,9.019652811288104,5.225599265622748,19.70358808114139,1.981127910980465,0.08833305978953765,0.31009924397678446
yield,xgboost|physchem_compact|max_depth=1|learning_rate=0.05|n_estimators=100,xgboost,physchem_compact,False,,,,1,0.05,100,7.171241728579793,9.104509082725276,5.000074800003887,24.060715896456756,2.3192268212852287,0.07109856954279115,0.3055231228026794
yield,knn|discriminating_2d|k=2|transformed=True,knn,discriminating_2d,True,,2,True,,,,7.233468392115987,9.712303218089865,5.36526166659705,23.55404663859038,2.515701948997314,-0.05706338520125076,0.06183494655367522
yield,knn|mechanism_hybrid|k=5|transformed=True,knn,mechanism_hybrid,False,,5,True,,,,7.234163553871085,9.267212890599993,5.829137954745029,23.929519798135757,4.678017122483502,0.03760170582920552,0.3784378370569396
yield,knn|physchem_compact|k=5|transformed=True,knn,physchem_compact,False,,5,True,,,,7.240613571196141,9.274412366832216,5.20826455776119,22.17449665467427,3.271590798187624,0.036105796514918964,0.218408769844114
yield,knn|mechanism_hybrid|k=6|transformed=False,knn,mechanism_hybrid,False,,6,False,,,,7.27381838565007,9.350176246507678,5.692830308862426,25.782917103130316,4.032050016347288,0.020293117360398516,0.23077153040132797
yield,knn|physchem_compact|k=6|transformed=True,knn,physchem_compact,False,,6,True,,,,7.295003682354377,9.191719876391444,6.264245225800515,21.867725576277707,3.5294921568095527,0.053217710076097546,0.19230960866777333
yield,xgboost|physchem_compact|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,physchem_compact,False,,,,2,0.05,100,7.298670551188089,9.234498200192075,5.316211221249716,23.208162129301087,2.1791370977196363,0.04438454117231849,0.28861245735987995
yield,xgboost|physchem_compact|max_depth=2|learning_rate=0.1|n_estimators=100,xgboost,physchem_compact,False,,,,2,0.1,100,7.303996836683011,9.205052747599034,5.48883566731061,19.796815740945874,1.633271707919533,0.050469044589376844,0.19550058123544248
yield,knn|mechanism_hybrid|k=6|transformed=True,knn,mechanism_hybrid,False,,6,True,,,,7.3863621625610625,9.636059076027225,5.628352416553007,26.265534246590462,5.052258379802064,-0.04053207567933481,0.32280541454947664
yield,knn|physchem_compact|k=4|transformed=False,knn,physchem_compact,False,,4,False,,,,7.417997848923735,9.436069606740935,4.826679420113415,22.14468407045223,2.62116964990692,0.002210713723828306,0.21119715951907247
yield,xgboost|physchem_compact|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,physchem_compact,False,,,,1,0.1,100,7.419834128147676,9.339675058944735,5.512797120954566,20.601063086010555,1.9621196907637501,0.022492500170547935,0.14069540721210347
yield,ridge|mechanism_hybrid|alpha=3.0,ridge,mechanism_hybrid,False,3.0,,,,,,7.505788861341107,9.90006889513606,4.99932756530891,22.55068287133031,3.1756476803892926,-0.09833038510088543,0.13461672606744132
yield,knn|manual_core|k=4|transformed=False,knn,manual_core,True,,4,False,,,,7.508518193381467,10.301878565046021,5.615643290015896,25.657537564500075,3.812148078404924,-0.18929451845058942,0.15486512954123752
yield,knn|discriminating_2d|k=2|transformed=False,knn,discriminating_2d,True,,2,False,,,,7.5810591205697095,9.88971710850923,6.441586169811259,23.480254450953666,2.00487005117211,-0.09603469651823393,0.04706326487696392
