id,scope_group,observed,predicted,selected_config,selection_reason,validation,target,nominal_coverage,global_half_width,group_or_global_half_width,interval_source,empirical_q80_half_width,half_width,global_lower,global_upper,lower,upper,empirical_lower,empirical_upper,covered
2d,alkyl_series,86.0,82.68595835911007,xgboost|manual_core|max_depth=2|learning_rate=0.05|n_estimators=100,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,61.0,100.0,61.0,100.0,67.66095308481322,97.71096363340693,True
2e,alkyl_series,61.0,82.68595835911007,xgboost|manual_core|max_depth=2|learning_rate=0.05|n_estimators=100,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,61.0,100.0,61.0,100.0,67.66095308481322,97.71096363340693,True
2f,alkyl_series,74.0,78.64265003594436,xgboost|manual_core|max_depth=2|learning_rate=0.05|n_estimators=100,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,56.95669167683428,100.0,56.95669167683428,100.0,63.6176447616475,93.66765531024122,True
2g,alkyl_series,50.0,78.64265003594436,xgboost|manual_core|max_depth=2|learning_rate=0.05|n_estimators=100,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,56.95669167683428,100.0,56.95669167683428,100.0,63.6176447616475,93.66765531024122,False
2j,biphenyl,70.0,85.04588126640219,knn|discriminating_2d|k=2|transformed=True,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,63.359922907292116,100.0,63.359922907292116,100.0,70.02087599210533,100.0,True
2k,biphenyl,70.0,85.47676451053954,knn|discriminating_2d|k=2|transformed=True,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,63.790806151429464,100.0,63.790806151429464,100.0,70.45175923624268,100.0,True
2z,cyclic_benzylic,70.0,85.02500527429686,knn|discriminating_2d|k=2|transformed=True,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,63.339046915186785,100.0,63.339046915186785,100.0,70.0,100.0,True
2r,meta_halogen,80.0,84.60563661810708,knn|discriminating_2d|k=3|transformed=True,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,62.91967825899701,100.0,62.91967825899701,100.0,69.58063134381023,99.63064189240394,True
2s,meta_halogen,80.0,81.73104935399199,knn|discriminating_2d|k=3|transformed=True,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,60.04509099488192,100.0,60.04509099488192,100.0,66.70604407969513,96.75605462828885,True
2a,naphthyl,95.0,75.6058433821342,knn|manual_core|k=3|transformed=True,manual deployable model retained because generated descriptors failed the predeclared material-improvement rule,nested_group_holdout,yield,0.9,21.685958359110074,21.685958359110074,global_fallback,15.02500527429686,21.685958359110074,53.91988502302412,97.29180174124427,53.91988502302412,97.29180174124427,60.58083810783734,90.63084865643106,True
