target,scope_group,interval_source,n,mae,selected_half_width,global_half_width,observed_coverage
ee,alkyl_series,group,4,5.466830924476245,9.222232706740655,25.499030230473835,1.0
ee,biphenyl,global_fallback,2,4.826951394365501,25.499030230473835,25.499030230473835,1.0
ee,cyclic_benzylic,global_fallback,1,13.731635640570516,25.499030230473835,25.499030230473835,1.0
ee,meta_halogen,global_fallback,2,1.7440672500536039,25.499030230473835,25.499030230473835,1.0
ee,naphthyl,global_fallback,3,3.6618490962375128,25.499030230473835,25.499030230473835,1.0
ee,ortho_halogen,global_fallback,3,1.8209119626847705,25.499030230473835,25.499030230473835,1.0
ee,para_edg,global_fallback,2,16.079238548432144,25.499030230473835,25.499030230473835,1.0
ee,para_ewg,global_fallback,3,18.727514775490658,25.499030230473835,25.499030230473835,0.6666666666666666
ee,para_halogen,global_fallback,3,5.949272262616745,25.499030230473835,25.499030230473835,1.0
ee,polyhalogen,global_fallback,3,3.7374487248622663,25.499030230473835,25.499030230473835,1.0
yield,alkyl_series,global_fallback,4,14.571325017972178,21.685958359110074,21.685958359110074,0.75
yield,biphenyl,global_fallback,2,15.261322888470865,21.685958359110074,21.685958359110074,1.0
yield,cyclic_benzylic,global_fallback,1,15.02500527429686,21.685958359110074,21.685958359110074,1.0
yield,meta_halogen,global_fallback,2,3.168342986049538,21.685958359110074,21.685958359110074,1.0
yield,naphthyl,global_fallback,3,9.561134928661636,21.685958359110074,21.685958359110074,1.0
yield,ortho_halogen,global_fallback,3,4.530053488817212,21.685958359110074,21.685958359110074,1.0
yield,para_edg,global_fallback,2,6.813445573564579,21.685958359110074,21.685958359110074,1.0
yield,para_ewg,global_fallback,3,8.146046256285738,21.685958359110074,21.685958359110074,1.0
yield,para_halogen,global_fallback,3,4.168753722934653,21.685958359110074,21.685958359110074,1.0
yield,polyhalogen,global_fallback,3,4.921151135188874,21.685958359110074,21.685958359110074,1.0
