check,pass
required:README.md,True
required:LICENSE,True
required:CITATION.cff,True
required:DATA_CARD.md,True
required:03_数据/整理数据/qmdesc_descriptors.csv,True
required:03_数据/整理数据/steric_descriptors.csv,True
required:03_数据/整理数据/reaction_system_registry.json,True
required:03_数据/整理数据/chemical_term_dictionary.json,True
required:04_模型源码/model/artifacts/model_artifact_v44.json,True
required:05_网站/index.html,True
required:05_网站/app-v44.js,True
required:05_网站/model-v44.js,True
required:07_验证结果/data/v4.4.0/public_release_validation.json,True
required:07_验证结果/browser/v4.4.0/ui_test_result.json,True
required:08_说明文档/模型卡_v4.4.0.md,True
required:08_说明文档/优化对比报告_v4.4.0.md,True
artifact_version_4.4.0,True
production_champion_preserved,True
nine_reaction_systems,True
data_validation_pass,True
ui_validation_pass,True
no_apk_in_project,True
no_pdf_in_public_project,True
